Data supplied by UK-AIR on 16/1/2024
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Manchester Sharston,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit
 
01-01-2023,01:00,0.21374,R,ugm-3,2.38776,R,ugm-3,2.71548,R,ugm-3,75.84587,R,ugm-3
01-01-2023,02:00,0.68396,R,ugm-3,2.26285,R,ugm-3,3.31157,R,ugm-3,74.71067,R,ugm-3
01-01-2023,03:00,0.67327,R,ugm-3,3.18991,R,ugm-3,4.22225,R,ugm-3,68.32514,R,ugm-3
01-01-2023,04:00,0.41679,R,ugm-3,2.63939,R,ugm-3,3.27845,R,ugm-3,72.90143,R,ugm-3
01-01-2023,05:00,0.25648,R,ugm-3,2.58714,R,ugm-3,2.98041,R,ugm-3,75.66849,R,ugm-3
01-01-2023,06:00,0.35267,R,ugm-3,3.23444,R,ugm-3,3.77519,R,ugm-3,64.97274,R,ugm-3
01-01-2023,07:00,0.32061,R,ugm-3,2.29013,R,ugm-3,2.78171,R,ugm-3,72.42252,R,ugm-3
01-01-2023,08:00,0.67327,R,ugm-3,4.58077,R,ugm-3,5.61310,R,ugm-3,68.80405,R,ugm-3
01-01-2023,09:00,0.32061,R,ugm-3,3.87968,R,ugm-3,4.37127,R,ugm-3,67.84622,R,ugm-3
01-01-2023,10:00,0.76945,R,ugm-3,7.26468,R,ugm-3,8.44449,R,ugm-3,68.96369,R,ugm-3
01-01-2023,11:00,0.35267,R,ugm-3,4.32726,R,ugm-3,4.86800,R,ugm-3,72.52894,R,ugm-3
01-01-2023,12:00,0.83357,R,ugm-3,4.98073,R,ugm-3,6.25886,R,ugm-3,71.73075,R,ugm-3
01-01-2023,13:00,1.41066,R,ugm-3,6.82791,R,ugm-3,8.99090,R,ugm-3,67.52695,R,ugm-3
01-01-2023,14:00,1.28242,R,ugm-3,7.17357,R,ugm-3,9.13992,R,ugm-3,66.67555,R,ugm-3
01-01-2023,15:00,1.21830,R,ugm-3,7.12287,R,ugm-3,8.99090,R,ugm-3,66.30306,R,ugm-3
01-01-2023,16:00,0.83357,R,ugm-3,6.91800,R,ugm-3,8.19612,R,ugm-3,66.72876,R,ugm-3
01-01-2023,17:00,0.96182,R,ugm-3,10.24818,R,ugm-3,11.72294,R,ugm-3,61.62034,R,ugm-3
01-01-2023,18:00,1.34654,R,ugm-3,10.15501,R,ugm-3,12.21968,R,ugm-3,65.71771,R,ugm-3
01-01-2023,19:00,1.76333,R,ugm-3,17.46370,R,ugm-3,20.16743,R,ugm-3,58.85327,R,ugm-3
01-01-2023,20:00,2.43660,R,ugm-3,24.72684,R,ugm-3,28.46290,R,ugm-3,47.62539,R,ugm-3
01-01-2023,21:00,0.86563,R,ugm-3,10.59435,R,ugm-3,11.92163,R,ugm-3,60.60929,R,ugm-3
01-01-2023,22:00,0.60915,R,ugm-3,11.48435,R,ugm-3,12.41837,R,ugm-3,51.66956,R,ugm-3
01-01-2023,23:00,0.80151,R,ugm-3,8.70573,R,ugm-3,9.93470,R,ugm-3,51.40349,R,ugm-3
01-01-2023,24:00,0.51297,R,ugm-3,5.02526,R,ugm-3,5.81180,R,ugm-3,60.44966,R,ugm-3
02-01-2023,01:00,0.98364,R,ugm-3,8.43101,R,ugm-3,9.93923,R,ugm-3,53.07082,R,ugm-3
02-01-2023,02:00,0.25660,R,ugm-3,7.42542,R,ugm-3,7.81886,R,ugm-3,50.72947,R,ugm-3
02-01-2023,03:00,0.28868,R,ugm-3,6.36575,R,ugm-3,6.80838,R,ugm-3,55.55409,R,ugm-3
02-01-2023,04:00,0.16038,R,ugm-3,6.71156,R,ugm-3,6.95747,R,ugm-3,58.74685,R,ugm-3
02-01-2023,05:00,0.41698,R,ugm-3,8.10717,R,ugm-3,8.74653,R,ugm-3,54.86232,R,ugm-3
02-01-2023,06:00,1.79621,R,ugm-3,20.85153,R,ugm-3,23.60568,R,ugm-3,38.41959,R,ugm-3
